curr_state	curr_action	next_reward	next_state	old_value	new_value
95	0	0	98	0.0	0.0
98	3	0	110	0.0	0.0
110	0	0	113	0.0	0.0
113	2	0	122	0.0	0.0
122	2	0	3	0.0	0.0
3	3	0	15	0.0	0.0
15	0	0	18	0.0	0.0
18	3	0	30	0.0	0.0
30	2	0	39	0.0	0.0
39	2	0	48	0.0	0.0
48	0	0	51	0.0	0.0
51	2	0	60	0.0	0.0
60	3	0	72	0.0	0.0
72	0	0	75	0.0	0.0
75	2	0	84	0.0	0.0
84	3	0	96	0.0	0.0
96	1	0	102	0.0	0.0
102	2	0	111	0.0	0.0
111	0	0	114	0.0	0.0
114	2	0	123	0.0	0.0
123	1	0	1	0.0	0.0
1	1	0	7	0.0	0.0
7	1	0	13	0.0	0.0
13	3	0	25	0.0	0.0
25	3	0	37	0.0	0.0
37	1	0	43	0.0	0.0
43	2	0	52	0.0	0.0
52	0	0	55	0.0	0.0
55	0	0	58	0.0	0.0
58	3	0	70	0.0	0.0
70	1	0	76	0.0	0.0
76	1	0	82	0.0	0.0
82	0	0	85	0.0	0.0
85	0	0	88	0.0	0.0
88	2	0	97	0.0	9.70299e-05
97	3	0	109	0.0009801	0.0018621900000000001
109	1	0	115	0.0	0.0099
115	3	1	127	0.1	0.19
127	1	0	5	0.0	0.0
5	1	0	11	0.0	0.0
11	3	0	23	0.0	0.0
23	1	0	29	0.0	0.0
29	0	0	32	0.0	0.0
32	1	0	38	0.0	0.0
38	1	0	44	0.0	0.0
44	2	0	53	0.0	0.0
53	0	0	56	0.0	0.0
56	3	0	68	0.0	0.0
68	1	0	74	0.0	0.0
74	2	0	83	0.0	0.0
83	1	0	89	0.0	0.0
89	0	0	92	0.0	0.0
92	1	0	98	0.0	0.0
98	2	0	107	0.0	0.0
107	3	0	119	0.0	0.0
119	0	0	122	0.0	0.0
122	0	0	125	0.0	0.0
125	1	0	3	0.0	0.0
3	0	0	6	0.0	0.0
6	3	0	18	0.0	0.0
18	1	0	24	0.0	0.0
24	0	0	27	0.0	0.0
27	2	0	36	0.0	0.0
36	1	0	42	0.0	0.0
42	3	0	54	0.0	0.0
54	1	0	60	0.0	0.0
60	2	0	69	0.0	0.0
69	0	0	72	0.0	0.0
72	0	0	75	0.0	0.0
75	1	0	81	0.0	0.0
81	2	0	90	0.0	0.0
90	2	0	99	0.0	0.0
99	0	0	102	0.0	0.0
102	3	0	114	0.0	0.0
114	2	0	123	0.0	0.0
123	1	0	1	0.0	0.0
1	1	0	7	0.0	0.0
7	0	0	10	0.0	0.0
10	3	0	22	0.0	0.0
22	3	0	34	0.0	0.0
34	2	0	43	0.0	0.0
43	3	0	55	0.0	0.0
55	1	0	61	0.0	0.0
61	1	0	67	0.0	0.0
67	3	0	79	0.0	0.0
79	1	0	85	0.0	0.0
85	0	0	88	0.0	9.605960100000001e-06
88	2	0	97	9.70299e-05	0.00027168372000000004
97	3	0	109	0.0018621900000000001	0.0026560710000000003
109	1	0	115	0.0099	0.02772
115	3	1	127	0.19	0.271
127	3	0	11	0.0	0.0
11	2	0	20	0.0	0.0
20	0	0	23	0.0	0.0
23	3	0	35	0.0	0.0
35	0	0	38	0.0	0.0
38	1	0	44	0.0	0.0
44	3	0	56	0.0	0.0
56	1	0	62	0.0	0.0
62	2	0	71	0.0	0.0
71	0	0	74	0.0	0.0
74	2	0	83	0.0	0.0
83	1	0	89	0.0	0.0
89	0	0	92	0.0	0.0
92	1	0	98	0.0	0.0
98	2	0	107	0.0	0.0
107	2	0	116	0.0	0.0
116	3	0	0	0.0	0.0
0	3	0	12	0.0	0.0
12	0	0	15	0.0	0.0
15	3	0	27	0.0	0.0
27	0	0	30	0.0	0.0
30	1	0	36	0.0	0.0
36	1	0	42	0.0	0.0
42	0	0	45	0.0	0.0
45	2	0	54	0.0	0.0
54	0	0	57	0.0	0.0
57	3	0	69	0.0	0.0
69	0	0	72	0.0	0.0
72	1	0	78	0.0	0.0
78	0	0	81	0.0	0.0
81	2	0	90	0.0	0.0
90	1	0	96	0.0	0.0
96	3	0	108	0.0	0.0
108	0	0	111	0.0	0.0
111	0	0	114	0.0	0.0
114	0	0	117	0.0	0.0
117	1	0	123	0.0	0.0
123	3	0	7	0.0	0.0
7	1	0	13	0.0	0.0
13	2	0	22	0.0	0.0
22	0	0	25	0.0	0.0
25	3	0	37	0.0	0.0
37	2	0	46	0.0	0.0
46	3	0	58	0.0	0.0
58	3	0	70	0.0	0.0
70	3	0	82	0.0	0.0
82	1	0	88	0.0	2.6896688280000005e-05
88	2	0	97	0.00027168372000000004	0.000507466377
97	3	0	109	0.0026560710000000003	0.0051347439000000005
109	1	0	115	0.02772	0.051777000000000004
115	3	1	127	0.271	0.34390000000000004
127	2	0	8	0.0	0.0
8	1	0	14	0.0	0.0
14	0	0	17	0.0	0.0
17	2	0	26	0.0	0.0
26	1	0	32	0.0	0.0
32	2	0	41	0.0	0.0
41	1	0	47	0.0	0.0
47	3	0	59	0.0	0.0
59	1	0	65	0.0	0.0
65	1	0	71	0.0	0.0
71	2	0	80	0.0	0.0
80	3	0	92	0.0	0.0
92	1	0	98	0.0	0.0
98	3	0	110	0.0	0.0
110	1	0	116	0.0	0.0
116	1	0	122	0.0	0.0
122	0	0	125	0.0	0.0
125	3	0	9	0.0	0.0
9	0	0	12	0.0	0.0
12	3	0	24	0.0	0.0
